Question,Answer
What is a gastric ulcer?,"A gastric ulcer is a type of peptic ulcer that occurs in the stomach, as opposed to duodenal ulcers which occur in the first portion of the duodenum."
What causes gastric ulcers?,"The text does not explicitly state the cause of gastric ulcers. However, it mentions that gastric acid output (basal and stimulated) tends to be normal or decreased in GU patients, suggesting that a decrease in gastric acid production may play a role in their development. Additionally, impairment of mucosal defense factors may be present when GUs develop in the presence of minimal acid levels.

The text also mentions that systemic inflammatory disorders can cause gastroduodenal ulcers, and that certain medications such as NSAIDs can inhibit prostaglandin synthesis and abrogate mucosal defense mechanisms, leading to ulceration. However, it does not specifically state that these factors are responsible for the development of gastric ulcers.

In general, the text suggests that the pathogenesis of peptic ulcers (which include both duodenal and gastric ulcers) is complex and multifactorial, involving a combination of factors such as Helicobacter pylori infection, NSAID use, acid hypersecretion, and mucosal ischemia."
How does H. pylori infection contribute to gastric ulcers?,"H. pylori infection contributes to gastric ulcers by inducing inflammation that can result in either hypochlorhydria or hyperchlorhydria, leading to the formation of different types of peptic ulcers. The bacterium produces urease, which creates an alkaline environment, and adhesins such as blood group antigen adhesin (BabA) or outer inflammatory protein adhesin (OipA), which facilitate attachment to gastric epithelium. Additionally, H. pylori strains contain the vacA gene, which encodes a vacuolating cytotoxin, although its role in disease pathogenesis is unclear. The interaction between bacterial and host factors determines the outcome of H. pylori infection, with high production of VacA product, cytokine induction, and enhanced adherence increasing the risk of ulcer development."
What are the common symptoms of a gastric ulcer?,"Nausea, vomiting."
How is a gastric ulcer diagnosed?,"The diagnostic evaluation for a gastric ulcer should proceed along two different but complementary paths: confirmation of the anatomic abnormality and investigation of its cause. 

In most patients, it is advisable to follow both diagnostic paths simultaneously. However, in some cases, it may be reasonable to skip the anatomic verification as a cost-saving strategy and proceed with management based on the probable cause.

Anatomic diagnosis can be confirmed using gastroduodenoscopy, barium contrast (inferior alternative), endoscopic ultrasound (selected cases only), or computed tomography (useful in selected cases). 

On the other hand, investigation of the cause can be done through various methods such as Helicobacter pylori testing, histologic examination of gastric mucosa, stool antigen test, carbon-13 urea breath test, serum antibodies, and others."
What tests are used to detect H. pylori infection?,"The tests used to detect H. pylori infection include:

1. Rapid urease test: 80-95% sensitivity and specificity, simple but may be false negative with recent use of PPIs, antibiotics, or bismuth compounds.
2. Histology: 80-90% sensitivity and >95% specificity, requires pathology processing and staining, provides histologic information.
3. Culture: Timeconsuming, expensive, dependent on experience, allows determination of antibiotic susceptibility.
4. Serology: >80% sensitivity and >90% specificity, inexpensive and convenient but not useful for early followup.
5. Urea breath test: >90% sensitivity and >90% specificity, simple and rapid but may have false negatives with recent therapy or exposure to low-dose radiation.
6. Stool antigen test: >90% sensitivity and >90% specificity, inexpensive and convenient.

Note that endoscopy and biopsy are recommended for patients older than 50-55 years to exclude or confirm the disease."
What are the common treatments for gastric ulcers?,"The common treatments for gastric ulcers are:

1. Proton Pump Inhibitors (PPIs): Lansoprazole 30 mg once per day is recommended.
2. H2RA: Famotidine 40 mg once per day.

Note that the treatment approach may vary depending on the location of the ulcer, presence of symptoms, and underlying causes."
What are the potential side effects of ulcer medications?,"Black stools, constipation, darkening of the tongue, neurotoxicity, perforation, secondary hemodynamic shock, leukocytosis, elevated C-reactive protein levels, mild hyperamylasemia, abdominal pain, board-like rigidity of the abdomen, and other manifestations of peritoneal irritation."
How do proton pump inhibitors (PPIs) work to treat gastric ulcers?,"Proton pump inhibitors (PPIs) work by irreversibly inhibiting the H+/K+-ATPase enzyme system at the secretory surface of gastric parietal cells. This inhibition blocks the final step of acid production, thereby reducing gastric acid secretion. PPIs are effective in treating gastric ulcers by creating an acidic environment that is unfavorable for bacterial growth and healing."
What are the long-term effects of untreated gastric ulcers?,"The long-term effects of untreated gastric ulcers include spontaneous healing and relapse while the causal factor (e.g., H. pylori infection or NSAID use) persists, leading to a cycle of symptoms. Untreated peptic ulcer disease can also lead to complications such as bleeding, perforation, or gastric outlet obstruction, which can be life-threatening."
